name,symbol,endpt_col,res,strat,mode,candle_len,rol,num_std,cycle,sl,tp,url
001_market_price_usd_ohlc,BTC,close,24h,sma_candle,above&positive,1,15,1,16,1,7,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
002_market_price_usd_ohlc,BTC,close,24h,sma_candle,whatever&positive,1,0,0,16,2,5,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
003_market_price_usd_ohlc,BTC,close,24h,sma_candle,below&negative,2,20,1,16,2,10,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
004_market_price_usd_ohlc,BTC,close,24h,sma_candle,whatever&negative,1,0,0,16,2,5,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
005_market_price_usd_ohlc,ETH,close,24h,sma_candle,above&positive,1,15,1,16,2,3,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
006_market_price_usd_ohlc,ETH,close,24h,sma_candle,whatever&positive,1,0,0,16,2,5,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
007_market_price_usd_ohlc,ETH,close,24h,sma_candle,below&negative,2,20,1,16,1,7,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
008_market_price_usd_ohlc,ETH,close,24h,sma_candle,whatever&negative,2,0,0,16,2,3,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
009_market_price_usd_ohlc,SUI,close,24h,sma_candle,above&positive,2,15,1,23,1,3,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
010_market_price_usd_ohlc,SUI,close,24h,sma_candle,below&negative,2,20,2,23,1,10,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
011_market_price_usd_ohlc,SOL,close,24h,sma_candle,above&positive,2,20,1,19,2,10,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
012_market_price_usd_ohlc,SOL,close,24h,sma_candle,whatever&positive,1,0,0,19,2,10,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
013_market_price_usd_ohlc,SOL,close,24h,sma_candle,below&negative,1,20,1,19,1,10,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
014_market_price_usd_ohlc,SOL,close,24h,sma_candle,whatever&negative,4,0,0,19,1,3,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
015_market_price_usd_ohlc,DOGE,close,24h,sma_candle,whatever&positive,2,0,0,14,1,10,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc
016_market_price_usd_ohlc,DOGE,close,24h,sma_candle,below&negative,4,20,1,14,2,10,https://api.glassnode.com/v1/metrics/market/price_usd_ohlc